movie	Star Wars: Episode II - Attack of the Clones	2002
director	Lucas, George	Star Wars: Episode II - Attack of the Clones	2002
actor	Serkis, Andy	The Lord of the Rings: The Return of the King	2003	Gollum/Smeagol
actor	Sinclair, Harry	The Lord of the Rings: The Return of the King	2003	Isildur
actor	Smith, Pete	The Lord of the Rings: The Return of the King	2003	Featured Orc
actor	Csokas, Marton	The Lord of the Rings: The Return of the King	2003	Celeborn
actor	Spence, Bruce	The Lord of the Rings: The Return of the King	2003	Black Lieutenant (extended edition)
actor	Dourif, Brad	The Lord of the Rings: The Return of the King	2003	Wormtongue (extended edition)
movie	The Lord of the Rings: The Two Towers	2002
director	Jackson, Peter	The Lord of the Rings: The Two Towers	2002
actress	Otto, Miranda	The Lord of the Rings: The Two Towers	2002	Eowyn
actress	Malcolm, Robyn	The Lord of the Rings: The Two Towers	2002	Morwen
actress	Tennet, Olivia	The Lord of the Rings: The Two Towers	2002	Freda
actress	Tyler, Liv	The Lord of the Rings: The Two Towers	2002	Arwen
actress	Jackson, Katie	The Lord of the Rings: The Two Towers	2002	Cute Rohan Refugee Child
actress	Beynon-Cole, Victoria	The Lord of the Rings: The Two Towers	2002	Hero Orc
actress	Blanchett, Cate	The Lord of the Rings: The Two Towers	2002	Galadriel
actor	Lee, Christopher	The Lord of the Rings: The Two Towers	2002	Saruman
actor	Lee, Timothy	The Lord of the Rings: The Two Towers	2002	Wildman (extended edition)
actor	Lees, Nathaniel	The Lord of the Rings: The Two Towers	2002	Ugluk
actor	Leigh, John	The Lord of the Rings: The Two Towers	2002	Hama
actor	Magasiva, Robbie	The Lord of the Rings: The Two Towers	2002	Mauhur
actor	McKellen, Ian	The Lord of the Rings: The Two Towers	2002	Gandalf
actor	Monaghan, Dominic	The Lord of the Rings: The Two Towers	2002	Merry
actor	Mortensen, Viggo	The Lord of the Rings: The Two Towers	2002	Aragorn
actor	Noble, John	The Lord of the Rings: The Two Towers	2002	Denethor (extended edition)
actor	Parker, Craig	The Lord of the Rings: The Two Towers	2002	Haldir
actor	Phillips, Bruce	The Lord of the Rings: The Two Towers	2002	Rohan Soldier
actor	Pollock, Robert	The Lord of the Rings: The Two Towers	2002	Mordor Orc
actor	Trickitt, Ray	The Lord of the Rings: The Two Towers	2002	Bereg
actor	Urban, Karl	The Lord of the Rings: The Two Towers	2002	Eomer
actor	Ure, Stephen	The Lord of the Rings: The Two Towers	2002	Grishnakh
actor	Weaving, Hugo	The Lord of the Rings: The Two Towers	2002	Elrond
actor	Wenham, David	The Lord of the Rings: The Two Towers	2002	Faramir
actor	Wood, Elijah	The Lord of the Rings: The Two Towers	2002	Frodo
actor	Rhys-Davies, John	The Lord of the Rings: The Two Towers	2002	Gimli/Voice of Treebeard
actor	Serkis, Andy	The Lord of the Rings: The Two Towers	2002	Gollum
actor	Strewe, Paris Howe	The Lord of the Rings: The Two Towers	2002	Theodred
actor	Gittins, Calum	The Lord of the Rings: The Two Towers	2002	Haleth
actor	Grieve, Phil	The Lord of the Rings: The Two Towers	2002	Hero Orc
actor	Harris, Phillip Spencer	The Lord of the Rings: The Two Towers	2002	Ranger 1 (extended edition)
actor	Hartley, Lee	The Lord of the Rings: The Two Towers	2002	Hero Orc
actor	Hill, Bernard	The Lord of the Rings: The Two Towers	2002	Theoden
actor	Hopkins, Bruce	The Lord of the Rings: The Two Towers	2002	Gamling
actor	Jackson, Billy	The Lord of the Rings: The Two Towers	2002	Cute Rohan Refugee Child
actor	Allpress, Bruce	The Lord of the Rings: The Two Towers	2002	Aldor
actor	Astin, Sean	The Lord of the Rings: The Two Towers	2002	Sam
actor	Bach, John	The Lord of the Rings: The Two Towers	2002	Madril
actor	Baker, Sala	The Lord of the Rings: The Two Towers	2002	Man Flesh Uruk
actor	Bean, Sean	The Lord of the Rings: The Two Towers	2002	Boromir (extended edition)
actor	Bloom, Orlando	The Lord of the Rings: The Two Towers	2002	Legolas
actor	Boyd, Billy	The Lord of the Rings: The Two Towers	2002	Pippin
actor	Brophy, Jed	The Lord of the Rings: The Two Towers	2002	Sharku/Snaga
actor	Comery, Sam	The Lord of the Rings: The Two Towers	2002	Eothain
actor	Dourif, Brad	The Lord of the Rings: The Two Towers	2002	Wormtongue
movie	The Lost World: Jurassic Park	1997
director	Spielberg, Steven	The Lost World: Jurassic Park	1997
actress	Moore, Julianne	The Lost World: Jurassic Park	1997	Sarah Harding
actress	Richards, Ariana	The Lost World: Jurassic Park	1997	Lex
actress	Schultz, Jacqueline	The Lost World: Jurassic Park	1997	Screamer
actress	Strittmatter, Cyd	The Lost World: Jurassic Park	1997	Mrs. Bowman
actress	Hofmann, Domini	The Lost World: Jurassic Park	1997	Screamer
actress	Holden, Marjean	The Lost World: Jurassic Park	1997	Screamer
actress	Belle, Camilla	The Lost World: Jurassic Park	1997	Cathy Bowman
actress	Bethune, Patricia	The Lost World: Jurassic Park	1997	Screamer
actress	Boyer, Katy	The Lost World: Jurassic Park	1997	Benjamin's Mom
actress	Buckner, Bari	The Lost World: Jurassic Park	1997	Screaming Woman
actress	Chester, Vanessa Lee	The Lost World: Jurassic Park	1997	Kelly Curtis
actor	Mazzello, Joseph	The Lost World: Jurassic Park	1997	Tim
actor	Michaels, Gordon	The Lost World: Jurassic Park	1997	InGen Worker
actor	Miles, Vincent Dee	The Lost World: Jurassic Park	1997	Screaming Hunter
actor	Miranda, Alex	The Lost World: Jurassic Park	1997	Barge Captain's Son
actor	Oumi, Darryl	The Lost World: Jurassic Park	1997	Asian Tourist
actor	Partridge, Ross	The Lost World: Jurassic Park	1997	Curious Man
actor	Postlethwaite, Pete	The Lost World: Jurassic Park	1997	Roland Tembo
actor	Purwin, Alan D.	The Lost World: Jurassic Park	1997	Cargo Helicopter Pilot
actor	Stuart, Thomas	The Lost World: Jurassic Park	1997	Screamer
actor	Turk, Brian	The Lost World: Jurassic Park	1997	InGen Worker
actor	Vaughn, Vince	The Lost World: Jurassic Park	1997	Nick Van Owen
actor	Walrod, C. Ransom	The Lost World: Jurassic Park	1997	Ship Driver
actor	Wheeler, Rick	The Lost World: Jurassic Park	1997	Cargo Helicopter Pilot
actor	Williams, Kenyon	The Lost World: Jurassic Park	1997	Cargo Helicopter Pilot
actor	Zajonc, Robert 'Bobby Z'	The Lost World: Jurassic Park	1997	InGen Helicopter Pilot
actor	Rosales Jr., Thomas	The Lost World: Jurassic Park	1997	Carter
actor	Sachs, Robin	The Lost World: Jurassic Park	1997	Mr. Bowman
actor	Sawyer, David	The Lost World: Jurassic Park	1997	Workman
actor	Schiff, Richard	The Lost World: Jurassic Park	1997	Eddie Carr
actor	Shaw, Bernard	The Lost World: Jurassic Park	1997	CNN Reporter/Himself
actor	Shonka, J. Scott	The Lost World: Jurassic Park	1997	InGen Worker
actor	Silva, Geno	The Lost World: Jurassic Park	1997	Barge Captain
actor	Skorstad, Ben	The Lost World: Jurassic Park	1997	Cargo Helicopter Pilot
actor	St. James, David	The Lost World: Jurassic Park	1997	Screamer
actor	Stormare, Peter	The Lost World: Jurassic Park	1997	Dieter Stark
actor	Duffy, Thomas F.	The Lost World: Jurassic Park	1997	Dr. Robert Burke
actor	Abercrombie, Ian	The Lost World: Jurassic Park	1997	Butler
actor	Attenborough, Richard	The Lost World: Jurassic Park	1997	John Hammond
actor	Bass Jr., Eugene	The Lost World: Jurassic Park	1997	Attorney
actor	Boehm, Bob	The Lost World: Jurassic Park	1997	Cargo Helicopter Pilot
actor	Brady, Mark	The Lost World: Jurassic Park	1997	Screamer
actor	Brown, Billy	The Lost World: Jurassic Park	1997	InGen Worker
actor	Eidel, Carey	The Lost World: Jurassic Park	1997	Benjamin's Dad
actor	Fujimoto, Michael N.	The Lost World: Jurassic Park	1997	Asian Tourist
actor	Fujimoto, Paul	The Lost World: Jurassic Park	1997	Asian Tourist
actor	Gibbs, David Gene	The Lost World: Jurassic Park	1997	Police Helicopter Pilot
actor	Goldblum, Jeff	The Lost World: Jurassic Park	1997	Ian Malcolm
actor	Harley, Jim	The Lost World: Jurassic Park	1997	Harbor Master
actor	Howard, Arliss	The Lost World: Jurassic Park	1997	Peter Ludlow
actor	Hutchinson, Harry	The Lost World: Jurassic Park	1997	InGen Worker
actor	Imai, Darryl A.	The Lost World: Jurassic Park	1997	Asian Tourist
actor	James, Colton	The Lost World: Jurassic Park	1997	Benjamin
actor	Jason, Harvey	The Lost World: Jurassic Park	1997	Ajay Sidhu
actor	Jensen, Bradley	The Lost World: Jurassic Park	1997	Cargo Helicopter Pilot
actor	Koepp, David	The Lost World: Jurassic Park	1997	Unlucky Bastard
movie	The Men Who Stare at Goats	2009
director	Heslov, Grant	The Men Who Stare at Goats	2009
actress	Mader, Rebecca	The Men Who Stare at Goats	2009	Debora Wilton
actress	Van, MinhTu	The Men Who Stare at Goats	2009	VC Woman
actress	Villafane, Elsa	The Men Who Stare at Goats	2009	Gus' Mother
actor	Lamkin, Donn	The Men Who Stare at Goats	2009	Lyn's Father
actor	Lang, Stephen	The Men Who Stare at Goats	2009	Brigadier General Dean Hopgood
actor	LaTourrette, Todd Lawson	The Men Who Stare at Goats	2009	Dave
actor	Maher, Christopher	The Men Who Stare at Goats	2009	Iraqi Driver
actor	Margarida, Jaime	The Men Who Stare at Goats	2009	Major General Pendleton
actor	McGregor, Ewan	The Men Who Stare at Goats	2009	Bob Wilton
actor	Morshower, Glenn	The Men Who Stare at Goats	2009	Major General Holtz
actor	Newton, Matt	The Men Who Stare at Goats	2009	Vietnam Private Chris
actor	Offerman, Nick	The Men Who Stare at Goats	2009	Scotty Mercer
actor	Patrick, Robert	The Men Who Stare at Goats	2009	Todd Nixon
actor	Phillips, Sean	The Men Who Stare at Goats	2009	Vietnam Soldier
actor	Pickett, Wiley M.	The Men Who Stare at Goats	2009	Krom - Texan
actor	Raschel, JJ	The Men Who Stare at Goats	2009	Clifford Hickox
actor	Tannen, A.J.	The Men Who Stare at Goats	2009	Army Broadcaster
actor	Titizian, Hrach	The Men Who Stare at Goats	2009	Kidnapper #1
actor	White, Barry R.	The Men Who Stare at Goats	2009	Krom agent
actor	Wiggins, Kevin	The Men Who Stare at Goats	2009	Major General Jack Gillian
actor	Witting, Steve	The Men Who Stare at Goats	2009	PSIC Worker #1
actor	Zuaiter, Waleed	The Men Who Stare at Goats	2009	Mahmud Daash
actor	Robinson, Christopher	The Men Who Stare at Goats	2009	Stryker Soldier
actor	Root, Stephen	The Men Who Stare at Goats	2009	Gus Lacey
actor	Seltzer, Drew	The Men Who Stare at Goats	2009	Technician
actor	Serpico, Terry	The Men Who Stare at Goats	2009	Krom - Phil Driver
actor	Serrano, Diego	The Men Who Stare at Goats	2009	Krom - Chilean
actor	Shiver, Arron	The Men Who Stare at Goats	2009	Norm Pendlleton
actor	Siddiqui, Fawad	The Men Who Stare at Goats	2009	Kuwait Waiter
actor	Spacey, Kevin	The Men Who Stare at Goats	2009	Larry Hooper
actor	Spadaro, Jay	The Men Who Stare at Goats	2009	Gas Station Driver
actor	Sterchi, William	The Men Who Stare at Goats	2009	Bob's Editor
actor	Gates, Samuel Ray	The Men Who Stare at Goats	2009	Journalist #1
actor	Geer, Kevin	The Men Who Stare at Goats	2009	CIA Agent
actor	Griffin, Tim	The Men Who Stare at Goats	2009	Tim Kootz
actor	Grunberg, Brad	The Men Who Stare at Goats	2009	Ron
actor	Holley, Edward	The Men Who Stare at Goats	2009	Army Soldier
actor	Huc, Reginald	The Men Who Stare at Goats	2009	Krom - 3rd Security Man
actor	Aragon, Michael-David	The Men Who Stare at Goats	2009	Insurgent
actor	Bahou, Shafik N.	The Men Who Stare at Goats	2009	Kidnapper #2
actor	Bell, Hunter	The Men Who Stare at Goats	2009	PSIC Worker #2
actor	Bernhard, Chick	The Men Who Stare at Goats	2009	Krom - SUV
actor	Bicknell, Morse	The Men Who Stare at Goats	2009	Ben Echmeyer
actor	Bridges, Jeff	The Men Who Stare at Goats	2009	Bill Django
actor	Browne, Jacob	The Men Who Stare at Goats	2009	Lieutenant Boone
actor	Burnett, McCaleb	The Men Who Stare at Goats	2009	Journalist #2
actor	Clooney, George	The Men Who Stare at Goats	2009	Lyn Cassady
actor	Curley, Sean	The Men Who Stare at Goats	2009	Lyn (12 years old)
actor	Curtis Brown, Robert	The Men Who Stare at Goats	2009	General Brown
actor	D'Antoni, Alan	The Men Who Stare at Goats	2009	Gas Station Driver
movie	The Mission	1986
director	Joff�, Roland	The Mission	1986
actress	Lunghi, Cherie	The Mission	1986	Carlotta
actress	Ripoll, Maria Teresa	The Mission	1986	Carlotta's Maid
actor	Lawn, Tony	The Mission	1986	Father Provincial
actor	Low, Chuck	The Mission	1986	Cabeza
actor	McAnally, Ray	The Mission	1986	Cardinal Altamirano
actor	Moya, Alejandrino	The Mission	1986	Chief's Lieutenant
actor	Moya, Bercelio	The Mission	1986	Indian Boy
actor	Neeson, Liam	The Mission	1986	Fielding
actor	Ontiveros, Asuncion	The Mission	1986	Indian Chief
actor	Pickup, Ronald	The Mission	1986	Hontar
actor	Quinn, Aidan	The Mission	1986	Felipe Mendoza
actor	Sisowath, Monirak	The Mission	1986	Ibaye
actor	Duplat, Carlos	The Mission	1986	Portuguese Commander
actor	Gonzalez, Luis Carlos	The Mission	1986	Boy Singer
actor	Gray, Rolf	The Mission	1986	Young Jesuit
actor	Guerrero, �lvaro	The Mission	1986	Jesuit
actor	Irons, Jeremy	The Mission	1986	Father Gabriel
actor	Ismare, Sigifredo	The Mission	1986	Witch Doctor
actor	Berrigan, Daniel	The Mission	1986	Sebastian
actor	Camerano, Rafael	The Mission	1986	Spanish Commander
actor	Chiripua, Silvestre	The Mission	1986	Indian
actor	Daly, Joe	The Mission	1986	Nobleman
actor	De Niro, Robert	The Mission	1986	Rodrigo Mendoza
movie	The Monuments Men	2014
director	Clooney, George	The Monuments Men	2014
actress	Poirier, Aur�lia	The Monuments Men	2014	Young French Girl
actress	Marnay, Audrey	The Monuments Men	2014	Jean Claude's Wife
actress	Geisler-Bading, Claudia	The Monuments Men	2014	Stahl's Wife
actress	Jones, Avery June	The Monuments Men	2014	Campbell's Granddaughter
actress	Blanchett, Cate	The Monuments Men	2014	Claire Simone
actress	Castellucci, Luciana	The Monuments Men	2014	Nun
actor	Kroschwald, Udo	The Monuments Men	2014	Hermann Goering
actor	Laurent, Xavier	The Monuments Men	2014	French Armed Man
actor	Leonidas, Dimitri	The Monuments Men	2014	Sam Epstein
actor	Maguire, Matthew	The Monuments Men	2014	Young Dying Soldier
actor	Mills, Declan	The Monuments Men	2014	Siegen Private
actor	Mols, Marcel	The Monuments Men	2014	Bruges Priest
actor	Murray, Bill	The Monuments Men	2014	Richard Campbell
actor	Murtagh, Diarmaid	The Monuments Men	2014	Captain Harpen
actor	Paes, Piet	The Monuments Men	2014	Priest in Truck
actor	Payton, James	The Monuments Men	2014	Hitler
actor	Stuart, Corin	The Monuments Men	2014	Brit GI Translator
actor	Tavernier, Lucas	The Monuments Men	2014	St. Bavo Priest
actor	von Dohn�nyi, Justus	The Monuments Men	2014	Viktor Stahl
actor	von Sch�nfels, Emil	The Monuments Men	2014	Sniper Boy
actor	Wingrich, Thomas	The Monuments Men	2014	German 2nd in Command
actor	Reynolds, Joe	The Monuments Men	2014	Stokes' Son
actor	Rippy, Matt	The Monuments Men	2014	Colonel Gregg
actor	Rodska, Christian	The Monuments Men	2014	President Truman
actor	Rolfe, Marc	The Monuments Men	2014	US Solider
actor	Sagal, Nora	The Monuments Men	2014	Campbell's Daughter
actor	Seidel, Maximilian	The Monuments Men	2014	German POW
actor	Sharp, Aidan	The Monuments Men	2014	Stahl's Child
actor	Strasser, Levi	The Monuments Men	2014	Stokes' Grandson
actor	Dujardin, Jean	The Monuments Men	2014	Jean Claude Clermont
actor	Feit, Luc	The Monuments Men	2014	Aachen Vicar
actor	Goodman, John	The Monuments Men	2014	Walter Garfield
actor	Alexander, Andrew	The Monuments Men	2014	Major Piper
actor	Asquith-Coe, Lee	The Monuments Men	2014	'A Company' Drill Sgt
actor	Baharov, Zachary	The Monuments Men	2014	Commander Elya
actor	Balaban, Bob	The Monuments Men	2014	Preston Savitz
actor	Basman, Joel	The Monuments Men	2014	German Soldier at Ghent
actor	Bonneville, Hugh	The Monuments Men	2014	Donald Jeffries
actor	Bouchet, Adrian	The Monuments Men	2014	Sarge Near Altaussee
actor	Brandner, Michael	The Monuments Men	2014	Dentist
actor	Byron, Andrew	The Monuments Men	2014	Supply Sergeant
actor	Handtke, Holger	The Monuments Men	2014	Colonel Wegner
actor	Hazanavicius, Serge	The Monuments Men	2014	Rene Armand
actor	Hazeldine, Sam	The Monuments Men	2014	Colonel Langton
actor	Heidrich, Nicolas	The Monuments Men	2014	Stahl's Child
actor	Clooney, George	The Monuments Men	2014	Frank Stokes
actor	Clooney, Nick	The Monuments Men	2014	Older Stokes
actor	Heslov, Grant	The Monuments Men	2014	Doctor
actor	Hinderlich, Andr�	The Monuments Men	2014	German POW
actor	Copp, Oscar	The Monuments Men	2014	French Truck Driver
actor	Hofland, Michael	The Monuments Men	2014	Priest (Claude)
actor	Crehan, Richard	The Monuments Men	2014	Brit Private
actor	Dagleish, John	The Monuments Men	2014	ADSEC Sarge
actor	Dalton, Michael	The Monuments Men	2014	President Roosevelt
actor	Damon, Matt	The Monuments Men	2014	James Granger
actor	Davies, Ben-Ryan	The Monuments Men	2014	Brit Private - Bruges
actor	Jones, James Audrey	The Monuments Men	2014	Campbell's Granddaughters
actor	Jupp, Miles	The Monuments Men	2014	Major Feilding
actor	Desplat, Alexandre	The Monuments Men	2014	Emile
actor	Devoti, Oliver	The Monuments Men	2014	Colonel at Caen
actor	Dines, Jim	The Monuments Men	2014	Trawler Skipper
actor	Kolosko, Stefan	The Monuments Men	2014	German Commander
movie	The Net	1995
director	Winkler, Irwin	The Net	1995
actress	Parrish, Hope M.	The Net	1995	Security Officer
actress	Pearlstein, Julia	The Net	1995	Nurse #2
actress	Vera, Julia	The Net	1995	Mexican Nun
actress	Winkler, Margo	The Net	1995	Mrs. Raines
actress	Evans, Wanda-Lee	The Net	1995	Desk Sergeant
actress	Flanders, Lili	The Net	1995	Embassy Worker
actress	Gazelle, Wendy	The Net	1995	Imposter
actress	Krofft, Kristina	The Net	1995	Nurse #1
actress	Abedi, Barbara	The Net	1995	CCU Nurse
actress	Baker, Diane	The Net	1995	Mrs. Bennett
actress	Benedict, Tannis	The Net	1995	Elevator Woman
actress	Blades, Lynn	The Net	1995	Remote Reporter
actress	Bomes, Melissa	The Net	1995	Reservation Clerk
actress	Bullock, Sandra	The Net	1995	Angela Bennett
actress	Butler, Lucy	The Net	1995	Female Officer
actress	Caldwell, L. Scott	The Net	1995	Public Defender
actress	Corral Kendall, Elaine	The Net	1995	Newscaster
actor	Livingston, John	The Net	1995	Computer Technician
actor	L�pez, Alfredo	The Net	1995	Guitar Player
actor	McKinnon, Ray	The Net	1995	Dale
actor	Miller, Dennis	The Net	1995	Dr. Alan Champion
actor	Northam, Jeremy	The Net	1995	Jack Devlin
actor	Perez, Tony	The Net	1995	Mexican Doctor
actor	Thompson, Melvin	The Net	1995	Fire Official
actor	Winkler, Adam	The Net	1995	Computer Nerd
actor	Winkler, Charles	The Net	1995	Cop
actor	Winkler, David	The Net	1995	Computer Technician
actor	Richmond, Dennis	The Net	1995	Newscaster
actor	Schorr, Daniel	The Net	1995	WNN Anchor
actor	Snyder, Rick	The Net	1995	Russ Melbourne
actor	Amador, Andrew	The Net	1995	Dermot Conley
actor	Armstrong, Vaughn	The Net	1995	Trooper
actor	Berns, Gerald	The Net	1995	Jeff Gregg
actor	Bracco, Rich	The Net	1995	Fireman
actor	Brainard, Cam	The Net	1995	Computer Technician
actor	Breen, Danny	The Net	1995	Supervisor
actor	Brown, Kevin	The Net	1995	The Bunny
actor	Brown, Wren T.	The Net	1995	Trooper
actor	Cappon, John	The Net	1995	ICU Doctor
actor	Crawford, Thomas	The Net	1995	Waiter
actor	Darga, Christopher	The Net	1995	Cop
actor	Dix Jr., Lewis	The Net	1995	FedEx Man
actor	Frankish, Brian E.	The Net	1995	Shuttle Driver
actor	Garcia, Juan	The Net	1995	Resort Desk Clerk
actor	Gomez, Roland	The Net	1995	Limo Driver
actor	Gossett, Robert	The Net	1995	Ben Phillips
actor	Hill, Brad	The Net	1995	Security Officer
actor	Howard, Ken	The Net	1995	Bergstrom
actor	Juarbe, Israel	The Net	1995	Thief
actor	Kilbride, Kerry	The Net	1995	WNN Reporter
actor	Kirkwood, Gene	The Net	1995	Stan Whiteman
movie	The Peacemaker	1997
director	Leder, Mimi	The Peacemaker	1997
actress	Porter, Adina	The Peacemaker	1997	Female NYPD Cop
actress	Leder, Hannah	The Peacemaker	1997	Piano Student
actress	Tunie, Tamara	The Peacemaker	1997	Jody
actress	Rogers, Jean	The Peacemaker	1997	Sarajevo CNN Representative
actress	Hoffer, Irmelin Mai	The Peacemaker	1997	Vienna Cafe Singer
actress	Kidman, Nicole	The Peacemaker	1997	Dr. Julia Kelly
actress	Copeland, Joan	The Peacemaker	1997	Senator Helen Bevens
actress	Cuervo, Alma	The Peacemaker	1997	UN Representative
actress	Doven, Andrea	The Peacemaker	1997	Kelly Girl
actor	Kouzouyan, Jono	The Peacemaker	1997	Bazta Merchant
actor	Kramar, Hubert	The Peacemaker	1997	Kordech Guard
actor	Kuznetsov, Aleksandr	The Peacemaker	1997	Russian Controller
actor	Lagle, David	The Peacemaker	1997	Pilot #3
actor	Lomax, David S.	The Peacemaker	1997	FBI Agent #2
actor	Lustig, Branko	The Peacemaker	1997	Man with Poodle
actor	MacVittie, Bruce	The Peacemaker	1997	DOE Helo Tech
actor	Mathews, Thom	The Peacemaker	1997	Major Rich Numbers
actor	McCallany, Holt	The Peacemaker	1997	Mark Appleton
actor	McInerney, Bernie	The Peacemaker	1997	Carey
actor	Medvesek, Rene	The Peacemaker	1997	Vlado Mirich
actor	Mueller-Stahl, Armin	The Peacemaker	1997	Dimitri Vertikoff
actor	Mustillo, Louis	The Peacemaker	1997	Costello
actor	Nayyar, Harsh	The Peacemaker	1997	Dr. Taraki
actor	Nikodym, Martin	The Peacemaker	1997	Polish IFOR Soldier
actor	Ottavio, John	The Peacemaker	1997	FBI Agent #3
actor	Paulovic, Lubom�r	The Peacemaker	1997	Pockman
actor	Dumas, Charles	The Peacemaker	1997	Special Agent David Branigan
actor	DuMont, James	The Peacemaker	1997	Young Sniper
actor	Faragallah, Ramsey	The Peacemaker	1997	New York Cabbie
actor	Gray, Bruce	The Peacemaker	1997	CNN Newscaster
actor	Guyer, Murphy	The Peacemaker	1997	INS Agent
actor	G�mez, Carlos	The Peacemaker	1997	Santiago
actor	Hardeman, Jerome Jamal	The Peacemaker	1997	Pilot #1
actor	Haynie, Jim	The Peacemaker	1997	General Garnett
actor	Hill, William	The Peacemaker	1997	Agent
actor	Hules, Endre	The Peacemaker	1997	Older Major
actor	Peskov, Aleksandr	The Peacemaker	1997	Vassily
actor	Iures, Marcel	The Peacemaker	1997	Dusan Gavrich
actor	Poe, Richard	The Peacemaker	1997	DOE Haz-mat Tech #2
actor	Johnson, Mark W.	The Peacemaker	1997	CIA Agent
actor	Potts, Michael	The Peacemaker	1997	DOE Haz-mat Tech #1
actor	Juraga, Slavko	The Peacemaker	1997	Stevo
actor	Strobele, Alexander	The Peacemaker	1997	Dietrich Schuhmacher
actor	Sussman, Matthew	The Peacemaker	1997	National Guard Captain
actor	Acimovic, Dejan	The Peacemaker	1997	Kodoroff's Driver
actor	Acovone, Jay	The Peacemaker	1997	Cop
actor	Adler, Matt	The Peacemaker	1997	Alan
actor	Visnjic, Goran	The Peacemaker	1997	Bazta Sergeant
actor	Baluev, Aleksandr	The Peacemaker	1997	General Aleksandr Kodoroff
actor	Batinkoff, Randall	The Peacemaker	1997	Ken
actor	Werntz, Gary	The Peacemaker	1997	Terry Hamilton
actor	Winston, Matt	The Peacemaker	1997	UN Official
actor	Boatman, Michael	The Peacemaker	1997	CPN Beach
actor	Yatsko, Aleksandr	The Peacemaker	1997	Russian Corporal
actor	Roch�, Sebastian	The Peacemaker	1997	Hans, German Backpacker
actor	Catlin, Gordon	The Peacemaker	1997	Gunner
actor	Cavalier, Charles	The Peacemaker	1997	Angry Motorist
actor	Chandler, Jared	The Peacemaker	1997	Marine
actor	Christ, Bill	The Peacemaker	1997	DOE Agent
actor	Semenov, Ed	The Peacemaker	1997	Radio Officer
actor	Clooney, George	The Peacemaker	1997	Lt. Col. Thomas Devoe
actor	Serpico, Terry	The Peacemaker	1997	Sniper #1
actor	Colby, James	The Peacemaker	1997	Limo Driver
actor	Cooper, Chuck	The Peacemaker	1997	NYPD Cop
actor	Simonds, Dave	The Peacemaker	1997	Philly Agent
actor	Corrigan, Blaise	The Peacemaker	1997	FBI Agent #1
actor	Smiljanic, Bozidar	The Peacemaker	1997	Serb Minister
actor	Sooster, Evert	The Peacemaker	1997	Praporshik
actor	Dilley, Leslie	The Peacemaker	1997	New York Priest
actor	Dimitrijevic, Slobodan	The Peacemaker	1997	Serb Official
actor	Dixon, Jerry	The Peacemaker	1997	Sniper #2
movie	The Perfect Storm	2000
director	Petersen, Wolfgang	The Perfect Storm	2000
actress	Lane, Diane	The Perfect Storm	2000	Christina Cotter
actress	Mastrantonio, Mary Elizabeth	The Perfect Storm	2000	Linda Greenlaw
actress	Wright, Janet	The Perfect Storm	2000	Ethel Shatford
actress	Samuels, Melissa	The Perfect Storm	2000	Pam (Todd Gross' Assistant)
actress	Schwimmer, Rusty	The Perfect Storm	2000	Irene 'Big Red' Johnson
actress	Sommerfeld, Jennifer	The Perfect Storm	2000	Alfred Pierre's Girlfriend
actress	Jones, Cherry	The Perfect Storm	2000	Edie Bailey
actress	Kennedy, Merle	The Perfect Storm	2000	Debra Murphy (Murph's Ex-Wife)
actress	Allen, Karen	The Perfect Storm	2000	Melissa Brown
actress	Anzur, Terry	The Perfect Storm	2000	TV Newscaster #2
actress	Brown, Katelyn C.	The Perfect Storm	2000	Carrot Top Kid #1
actor	Lee, James	The Perfect Storm	2000	Helmsman
actor	Malone, Lloyd	The Perfect Storm	2000	Falcon Jet Co-Pilot
actor	Mayo, Billy	The Perfect Storm	2000	C-130 Pilot
actor	McDonald, Christopher	The Perfect Storm	2000	Todd Gross
actor	Mihok, Dash	The Perfect Storm	2000	Sgt. Jeremy Mitchell
actor	Palermo, Chris	The Perfect Storm	2000	Flight Engineer Borgers
actor	Payne, Allen	The Perfect Storm	2000	Alfred Pierre
actor	Pickett, Wiley M.	The Perfect Storm	2000	Sgt. Millard Jones
actor	Tank, Hayden	The Perfect Storm	2000	Dale Murphy, Jr.
actor	Trotman, Tim	The Perfect Storm	2000	C-130 Navigator
actor	Wahlberg, Mark	The Perfect Storm	2000	Bobby Shatford
actor	Ward, Sandy	The Perfect Storm	2000	Quentin (The Old Timer)
actor	Reilly, John C.	The Perfect Storm	2000	Dale 'Murph' Murphy
actor	Reitman, Joseph D.	The Perfect Storm	2000	Douglas Kosco
actor	Rutstein, Barry	The Perfect Storm	2000	C-130 Engineer
actor	Schneider, Miles	The Perfect Storm	2000	Carrot Top Kid #2
actor	Shonka, J. Scott	The Perfect Storm	2000	Communications Officer
actor	Spaseff, Michael	The Perfect Storm	2000	Lookout
actor	Stinson, Patrick	The Perfect Storm	2000	TV Newscaster #1
actor	Fichtner, William	The Perfect Storm	2000	David 'Sully' Sullivan
actor	Foley, Patrick	The Perfect Storm	2000	Falcon Jet Pilot
actor	Gunton, Bob	The Perfect Storm	2000	Alexander McAnally III
actor	Hawkes, John	The Perfect Storm	2000	Mike 'Bugsy' Moran
actor	Hopkins, Josh	The Perfect Storm	2000	Capt. Darryl Ennis
actor	Ironside, Michael	The Perfect Storm	2000	Bob Brown
